term,b,SE,z,p,t,df,CI_lower,CI_upper,task,outcome,model_type,model_set,formula,sig
gf_scaled,102.4392,8.9973,NA,0,11.3856,7757.0004,84.8048,120.0735,ADT,Total_AUC,LMM,B_GF_Pupil,Total_AUC ~ difficulty * gf_scaled + (1 | sub),TRUE
difficultyHard:gf_scaled,3.4533,12.7233,NA,0.7861,0.2714,7757.0003,-21.4839,28.3904,ADT,Total_AUC,LMM,B_GF_Pupil,Total_AUC ~ difficulty * gf_scaled + (1 | sub),FALSE
(Intercept),2.5154,0.1983,12.686,0,NA,NA,2.1268,2.904,ADT,Accuracy,GLMM,A_cont_Behavioral,iscorr ~ difficulty * auc_rel_mvc_scaled + (1 | sub),TRUE
difficultyHard,-5.2476,0.1049,-50.0434,0,NA,NA,-5.4532,-5.0421,ADT,Accuracy,GLMM,A_cont_Behavioral,iscorr ~ difficulty * auc_rel_mvc_scaled + (1 | sub),TRUE
auc_rel_mvc_scaled,-0.0782,0.0559,-1.3984,0.162,NA,NA,-0.1877,0.0314,ADT,Accuracy,GLMM,A_cont_Behavioral,iscorr ~ difficulty * auc_rel_mvc_scaled + (1 | sub),FALSE
difficultyHard:auc_rel_mvc_scaled,0.027,0.0804,0.3362,0.7367,NA,NA,-0.1305,0.1846,ADT,Accuracy,GLMM,A_cont_Behavioral,iscorr ~ difficulty * auc_rel_mvc_scaled + (1 | sub),FALSE
(Intercept),-1.4501,0.1575,NA,0,-9.2093,38.0007,-1.7587,-1.1415,ADT,RT_log,LMM,A_cont_Behavioral,log_rt ~ difficulty * auc_rel_mvc_scaled + (1 + difficulty +      auc_rel_mvc_scaled | sub),TRUE
difficultyHard,0.219,0.0518,NA,1e-4,4.2278,37.9791,0.1175,0.3205,ADT,RT_log,LMM,A_cont_Behavioral,log_rt ~ difficulty * auc_rel_mvc_scaled + (1 + difficulty +      auc_rel_mvc_scaled | sub),TRUE
auc_rel_mvc_scaled,0.0011,0.0288,NA,0.9692,0.0387,66.4014,-0.0554,0.0576,ADT,RT_log,LMM,A_cont_Behavioral,log_rt ~ difficulty * auc_rel_mvc_scaled + (1 + difficulty +      auc_rel_mvc_scaled | sub),FALSE
difficultyHard:auc_rel_mvc_scaled,-0.0284,0.0292,NA,0.3311,-0.972,7706.9716,-0.0856,0.0288,ADT,RT_log,LMM,A_cont_Behavioral,log_rt ~ difficulty * auc_rel_mvc_scaled + (1 + difficulty +      auc_rel_mvc_scaled | sub),FALSE
(Intercept),-406.5999,56.809,NA,0,-7.1573,38.9721,-517.9435,-295.2563,ADT,Total_AUC,LMM,B_cont_Pupil,Total_AUC ~ difficulty * auc_rel_mvc_scaled + (1 | sub),TRUE
