task,outcome,model_type,term_clean,term,b,SE,CI_lower,CI_upper,z,t,df,p,sig,random_fx,singular_flag
CDT,Accuracy,GLMM,Intercept,(Intercept),0.1644,0.0882,-0.0085,0.3373,1.8631,NA,NA,0.0624,FALSE,iscorr ~ difficulty * effort + (1 | sub),FALSE
ADT,Reaction_Time_log,LMM,Physical Effort (High vs. Low),effortHigh,-0.027,0.0414,-0.1081,0.054,NA,-0.6537,7758,0.5133,FALSE,log_rt ~ difficulty * effort + (1 | sub),FALSE
ADT,Reaction_Time_log,LMM,Task Difficulty × Physical Effort,difficultyHard:effortHigh,0.0673,0.0585,-0.0474,0.1819,NA,1.1504,7758,0.25,FALSE,log_rt ~ difficulty * effort + (1 | sub),FALSE
ADT,Total_AUC,LMM,Intercept,(Intercept),-535.3055,56.7742,-646.5808,-424.0302,NA,-9.4287,41.0318,0,TRUE,Total_AUC ~ difficulty * effort + (1 | sub),FALSE
ADT,Total_AUC,LMM,Task Difficulty (Hard vs. Easy),difficultyHard,26.1055,17.9934,-9.161,61.3719,NA,1.4508,7757.0004,0.1469,FALSE,Total_AUC ~ difficulty * effort + (1 | sub),FALSE
ADT,Total_AUC,LMM,Physical Effort (High vs. Low),effortHigh,211.7713,17.9911,176.5094,247.0332,NA,11.7709,7757.0001,0,TRUE,Total_AUC ~ difficulty * effort + (1 | sub),FALSE
ADT,Total_AUC,LMM,Task Difficulty × Physical Effort,difficultyHard:effortHigh,-6.9061,25.4449,-56.7771,42.965,NA,-0.2714,7757.0002,0.7861,FALSE,Total_AUC ~ difficulty * effort + (1 | sub),FALSE
ADT,Cognitive_AUC,LMM,Intercept,(Intercept),38.02,5.813,26.6268,49.4132,NA,6.5406,49.3573,0,TRUE,Cognitive_AUC ~ difficulty * effort + (1 | sub),FALSE
ADT,Cognitive_AUC,LMM,Task Difficulty (Hard vs. Easy),difficultyHard,7.4729,3.3231,0.9596,13.9861,NA,2.2487,7757.001,0.0246,TRUE,Cognitive_AUC ~ difficulty * effort + (1 | sub),FALSE
ADT,Cognitive_AUC,LMM,Physical Effort (High vs. Low),effortHigh,-0.5924,3.3231,-7.1056,5.9209,NA,-0.1783,7757.001,0.8585,FALSE,Cognitive_AUC ~ difficulty * effort + (1 | sub),FALSE
ADT,Cognitive_AUC,LMM,Task Difficulty × Physical Effort,difficultyHard:effortHigh,-4.5626,4.6993,-13.7732,4.6479,NA,-0.9709,7757.0006,0.3316,FALSE,Cognitive_AUC ~ difficulty * effort + (1 | sub),FALSE
VDT,Accuracy,GLMM,Intercept,(Intercept),-0.9167,0.1671,-1.2442,-0.5892,-5.4854,NA,NA,0,TRUE,iscorr ~ difficulty * effort + (1 + difficulty + effort + difficulty:effort |      sub),FALSE
VDT,Accuracy,GLMM,Task Difficulty (Hard vs. Easy),difficultyHard,3.3859,0.2534,2.8892,3.8826,13.3601,NA,NA,0,TRUE,iscorr ~ difficulty * effort + (1 + difficulty + effort + difficulty:effort |      sub),FALSE
VDT,Accuracy,GLMM,Physical Effort (High vs. Low),effortHigh,-0.1273,0.0904,-0.3045,0.0498,-1.4091,NA,NA,0.1588,FALSE,iscorr ~ difficulty * effort + (1 + difficulty + effort + difficulty:effort |      sub),FALSE
VDT,Accuracy,GLMM,Task Difficulty × Physical Effort,difficultyHard:effortHigh,0.042,0.1847,-0.32,0.404,0.2274,NA,NA,0.8201,FALSE,iscorr ~ difficulty * effort + (1 + difficulty + effort + difficulty:effort |      sub),FALSE
VDT,Reaction_Time_log,LMM,Intercept,(Intercept),-1.2145,0.1602,-1.5284,-0.9005,NA,-7.5823,37.4717,0,TRUE,log_rt ~ difficulty * effort + (1 | sub),FALSE
VDT,Reaction_Time_log,LMM,Task Difficulty (Hard vs. Easy),difficultyHard,-0.1789,0.0368,-0.2511,-0.1067,NA,-4.8572,7360,0,TRUE,log_rt ~ difficulty * effort + (1 | sub),FALSE
VDT,Reaction_Time_log,LMM,Physical Effort (High vs. Low),effortHigh,0.1281,0.0368,0.0559,0.2003,NA,3.4768,7360,5e-4,TRUE,log_rt ~ difficulty * effort + (1 | sub),FALSE
VDT,Reaction_Time_log,LMM,Task Difficulty × Physical Effort,difficultyHard:effortHigh,-0.0523,0.0521,-0.1544,0.0498,NA,-1.0031,7360,0.3158,FALSE,log_rt ~ difficulty * effort + (1 | sub),FALSE
VDT,Total_AUC,LMM,Intercept,(Intercept),-515.2183,65.7711,-644.1273,-386.3093,NA,-7.8335,36.013,0,TRUE,Total_AUC ~ difficulty * effort + (1 + difficulty + effort +      difficulty:effort | sub),FALSE
VDT,Total_AUC,LMM,Task Difficulty (Hard vs. Easy),difficultyHard,10.4667,20.5546,-29.8195,50.7529,NA,0.5092,35.4784,0.6138,FALSE,Total_AUC ~ difficulty * effort + (1 + difficulty + effort +      difficulty:effort | sub),FALSE
VDT,Total_AUC,LMM,Physical Effort (High vs. Low),effortHigh,185.4888,33.3985,120.0289,250.9486,NA,5.5538,36.0833,0,TRUE,Total_AUC ~ difficulty * effort + (1 + difficulty + effort +      difficulty:effort | sub),FALSE
VDT,Total_AUC,LMM,Task Difficulty × Physical Effort,difficultyHard:effortHigh,-20.3808,30.5376,-80.2334,39.4719,NA,-0.6674,36.102,0.5088,FALSE,Total_AUC ~ difficulty * effort + (1 + difficulty + effort +      difficulty:effort | sub),FALSE
VDT,Cognitive_AUC,LMM,Intercept,(Intercept),24.906,6.5387,12.0904,37.7215,NA,3.809,44.1434,4e-4,TRUE,Cognitive_AUC ~ difficulty * effort + (1 | sub),FALSE
VDT,Cognitive_AUC,LMM,Task Difficulty (Hard vs. Easy),difficultyHard,-3.1774,3.3199,-9.6843,3.3295,NA,-0.9571,7326.0268,0.3386,FALSE,Cognitive_AUC ~ difficulty * effort + (1 | sub),FALSE
VDT,Cognitive_AUC,LMM,Physical Effort (High vs. Low),effortHigh,3.6723,3.3203,-2.8354,10.18,NA,1.106,7326.0147,0.2688,FALSE,Cognitive_AUC ~ difficulty * effort + (1 | sub),FALSE
VDT,Cognitive_AUC,LMM,Task Difficulty × Physical Effort,difficultyHard:effortHigh,-7.2188,4.6943,-16.4195,1.982,NA,-1.5378,7326.0143,0.1242,FALSE,Cognitive_AUC ~ difficulty * effort + (1 | sub),FALSE
